,Timestamp,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%],Disk read throughput [KB/s],Disk write throughput [KB/s],Disk size [GB],Network received throughput [KB/s],Network transmitted throughput [KB/s]
0,05.11.2015 00:00:00,2,0,156,3.4,4194304,1050673,25.05,0,14,54,12,45
1,05.11.2015 00:05:00,2,0,150,3.27,4194304,1095552,26.12,0,17,54,2,13
2,05.11.2015 00:10:00,2,0,158,3.46,4194304,1025507,24.45,0,15,54,12,45
3,05.11.2015 00:15:00,2,0,156,3.4,4194304,992372,23.66,0,16,54,3,12
4,05.11.2015 00:20:00,2,0,159,3.47,4194304,1129107,26.92,0,15,54,13,46
5,05.11.2015 00:25:00,2,0,152,3.31,4194304,1092616,26.05,0,15,54,2,11
6,05.11.2015 00:30:00,2,0,149,3.25,4194304,958398,22.85,0,13,54,2,11
7,05.11.2015 00:35:00,2,0,160,3.5,4194304,1187827,28.32,0,72,54,2,53
8,05.11.2015 00:40:00,2,0,156,3.4,4194304,1101005,26.25,0,14,54,12,45
9,05.11.2015 00:45:00,2,0,148,3.23,4194304,1115265,26.59,0,15,54,2,11
10,05.11.2015 00:50:00,2,0,169,3.69,4194304,1241095,29.59,0,15,54,12,45
11,05.11.2015 00:55:00,2,0,148,3.23,4194304,1182374,28.19,0,16,54,2,11
12,05.11.2015 01:00:00,2,0,150,3.28,4194304,1053609,25.12,0,15,54,2,11
13,05.11.2015 01:05:00,2,0,167,3.64,4194304,941621,22.45,0,16,54,164,20
14,05.11.2015 01:10:00,2,0,148,3.23,4194304,1011666,24.12,0,14,54,2,11
15,05.11.2015 01:15:00,2,0,150,3.28,4194304,964270,22.99,0,15,54,2,11
16,05.11.2015 01:20:00,2,0,157,3.42,4194304,983564,23.45,0,14,54,12,45
17,05.11.2015 01:25:00,2,0,136,2.97,4194304,891290,21.25,0,16,54,2,11
18,05.11.2015 01:30:00,2,0,141,3.08,4194304,885837,21.12,0,14,54,12,45
19,05.11.2015 01:35:00,2,0,133,2.92,4194304,939105,22.39,0,15,54,2,11
20,05.11.2015 01:40:00,2,0,144,3.15,4194304,846830,20.19,0,14,54,2,11
21,05.11.2015 01:45:00,2,0,149,3.25,4194304,877448,20.92,0,15,54,2,11
22,05.11.2015 01:50:00,2,0,163,3.56,4194304,1193280,28.45,0,15,54,2,11
